regrind_pct,resin_temp_c,cooling_time_s,paint_viscosity,film_thickness_um,booth_humidity_pct,pre_paint_storage_hrs,num_handlings,container_type,part_protection,surface_defect
8.1,236.74,15.18,26.44,40.44,63.4,2.81,1,cardboard_pallet,protected,1
8.16,237.04,12.28,25.64,32.33,44.44,6.45,4,metal_rack,unprotected,0
12.33,233.55,15.68,28.43,24.94,40.74,0.78,2,metal_rack,protected,0
12.4,225.79,17.97,22.08,30.36,44.29,0.57,3,plastic_box,unprotected,0
0.0,246.63,21.55,21.18,33.24,37.51,0.0,1,plastic_box,protected,0
22.14,240.53,12.22,23.12,35.15,51.35,8.12,1,metal_rack,protected,1
16.75,246.67,21.21,26.6,31.65,55.62,1.22,1,metal_rack,unprotected,0
15.01,225.15,24.58,25.19,28.76,45.17,1.64,3,plastic_box,protected,0
0.0,230.85,14.78,22.9,25.88,45.43,9.45,1,cardboard_pallet,protected,0
5.79,232.33,13.09,25.08,25.46,61.74,0.87,1,cardboard_pallet,protected,1
8.62,229.53,15.64,26.65,33.28,53.99,4.05,3,plastic_box,unprotected,0
0.14,239.36,21.71,25.1,30.86,57.48,6.19,3,plastic_box,protected,0
0.0,229.74,16.43,24.76,34.92,55.75,1.98,1,metal_rack,protected,0
5.79,228.47,18.6,23.59,29.79,52.8,3.54,7,metal_rack,protected,0
11.44,231.25,18.24,27.18,37.3,36.67,1.27,3,metal_rack,protected,0
17.37,228.01,19.05,26.53,25.31,51.08,1.46,3,plastic_box,unprotected,0
5.63,245.35,19.36,26.23,28.79,64.64,1.08,6,metal_rack,protected,0
0.0,240.69,18.16,23.93,30.58,43.11,4.67,2,plastic_box,protected,0
2.05,224.64,21.55,25.58,24.72,51.37,2.94,5,plastic_box,unprotected,1
20.4,235.01,14.44,21.44,21.15,44.22,2.82,4,cardboard_pallet,unprotected,1
0.0,241.27,17.25,24.19,25.73,65.52,3.12,2,metal_rack,protected,0
5.86,247.32,21.65,24.25,35.45,30.0,0.64,5,metal_rack,protected,1
1.61,232.15,16.68,25.33,39.6,51.77,1.96,2,metal_rack,unprotected,0
0.0,226.57,18.73,23.06,27.64,61.75,7.09,3,plastic_box,protected,0
7.0,237.83,11.68,25.77,33.15,43.13,6.09,4,metal_rack,unprotected,0
4.86,217.73,18.09,20.96,33.2,68.75,3.0,4,metal_rack,protected,0
21.69,247.12,16.83,30.82,25.25,47.19,0.45,6,cardboard_pallet,protected,0
14.83,224.67,14.48,23.38,35.16,51.76,0.0,6,cardboard_pallet,unprotected,0
19.1,239.64,18.78,27.71,20.27,30.0,1.98,5,plastic_box,protected,0
15.51,241.79,22.57,26.37,33.98,53.89,1.81,3,plastic_box,protected,0
8.49,239.45,21.93,26.51,25.51,45.81,3.98,6,metal_rack,unprotected,0
10.32,242.13,15.85,20.24,30.72,56.07,3.27,3,plastic_box,protected,0
13.11,229.37,20.03,26.92,33.56,47.2,2.56,5,metal_rack,protected,1
14.03,226.15,18.64,29.43,34.8,47.27,0.96,1,cardboard_pallet,protected,0
5.3,235.01,19.11,27.39,35.8,50.93,4.5,4,cardboard_pallet,protected,1
13.21,226.36,12.41,23.14,28.43,40.4,21.22,4,metal_rack,unprotected,1
1.23,240.1,11.61,27.07,28.17,58.68,2.39,2,metal_rack,protected,0
9.79,229.89,13.7,27.49,26.24,75.41,6.81,4,plastic_box,protected,0
14.82,238.77,17.7,24.13,25.02,49.41,2.49,5,plastic_box,unprotected,1
0.03,236.9,18.06,24.79,23.11,52.79,6.38,9,plastic_box,protected,0
4.46,238.56,18.54,24.72,29.23,42.87,6.23,1,metal_rack,unprotected,1
2.34,248.61,28.8,25.19,28.73,67.48,3.3,1,cardboard_pallet,unprotected,0
30.85,237.48,11.25,22.41,20.0,63.05,3.27,2,cardboard_pallet,unprotected,1
7.13,230.35,22.2,23.56,27.76,55.75,8.16,6,cardboard_pallet,unprotected,1
9.22,224.32,19.05,28.07,25.58,54.08,0.84,3,plastic_box,protected,0
4.07,231.29,17.5,25.48,26.89,50.02,10.8,3,metal_rack,unprotected,0
0.0,215.0,17.73,24.82,28.56,55.9,0.99,5,plastic_box,unprotected,1
13.33,229.22,20.59,26.42,30.89,49.53,0.97,3,plastic_box,unprotected,1
9.41,233.28,11.59,23.08,26.67,49.55,7.58,4,cardboard_pallet,unprotected,0
5.07,244.15,17.02,24.61,28.56,60.31,3.0,4,plastic_box,unprotected,0
0.0,225.86,19.94,23.9,37.14,70.24,9.13,4,plastic_box,protected,0
25.34,230.99,21.66,24.13,29.63,69.85,5.64,4,plastic_box,protected,0
10.58,245.57,19.27,26.66,23.99,55.52,4.0,5,plastic_box,protected,0
17.56,220.17,23.71,25.93,27.81,47.74,0.84,2,metal_rack,unprotected,1
20.74,233.08,19.1,23.7,28.75,34.27,0.13,1,plastic_box,protected,0
12.44,232.77,18.08,28.13,32.48,49.33,6.59,2,cardboard_pallet,protected,0
2.89,236.59,12.7,22.3,23.78,56.81,5.29,8,metal_rack,unprotected,0
15.4,220.31,17.82,28.01,40.65,44.71,4.52,4,metal_rack,unprotected,0
22.13,223.37,20.33,24.46,43.47,46.5,6.22,2,plastic_box,unprotected,0
0.0,234.84,21.04,25.24,31.13,44.18,10.1,1,plastic_box,unprotected,0
10.45,233.1,17.93,25.08,32.91,53.48,0.44,2,metal_rack,protected,0
7.69,227.36,18.11,23.75,27.31,31.26,1.43,4,metal_rack,protected,0
10.75,232.09,19.53,26.53,29.18,42.89,1.29,4,metal_rack,unprotected,0
6.92,250.14,10.93,22.2,30.08,62.98,0.9,5,plastic_box,protected,0
8.49,228.98,17.84,32.1,35.41,42.37,3.19,4,plastic_box,unprotected,1
6.15,239.85,15.48,26.65,28.79,47.26,0.0,5,cardboard_pallet,unprotected,0
18.31,233.69,22.98,23.84,29.33,61.3,8.52,1,metal_rack,protected,0
25.94,240.24,19.11,21.81,24.01,41.44,3.06,4,metal_rack,unprotected,1
19.29,235.02,19.54,27.39,29.87,69.64,5.82,5,plastic_box,protected,0
9.79,224.33,17.03,20.39,24.21,30.0,1.01,3,plastic_box,unprotected,0
0.82,240.87,10.86,26.7,27.46,56.92,3.18,1,metal_rack,protected,0
10.62,230.86,20.04,25.93,42.41,46.01,2.03,1,metal_rack,unprotected,0
9.11,238.79,18.6,23.51,24.47,44.89,9.97,2,metal_rack,unprotected,0
29.33,225.67,20.72,21.73,29.47,57.86,1.43,1,plastic_box,protected,0
3.29,236.93,21.06,21.7,29.9,47.86,4.03,1,plastic_box,protected,0
12.65,227.23,12.93,28.89,27.15,45.52,12.38,4,metal_rack,protected,0
11.87,239.2,15.15,25.09,27.22,49.25,1.03,1,plastic_box,protected,0
11.35,233.92,16.91,23.65,35.54,55.42,1.87,4,metal_rack,protected,0
9.48,238.25,17.65,26.67,37.05,62.9,1.63,5,metal_rack,protected,0
12.7,228.71,20.66,22.59,23.96,47.35,4.96,5,cardboard_pallet,unprotected,0
0.0,236.66,17.88,24.08,26.93,45.75,0.97,4,plastic_box,unprotected,0
5.84,230.96,21.52,26.08,29.42,49.47,3.95,1,plastic_box,protected,0
18.87,237.78,22.75,19.94,31.35,34.31,11.64,5,metal_rack,unprotected,0
12.47,230.59,16.22,19.01,42.73,68.31,0.21,3,plastic_box,unprotected,0
12.43,229.56,14.76,20.55,24.8,47.08,10.11,5,cardboard_pallet,protected,1
7.51,235.02,12.18,27.13,24.16,42.13,0.66,2,plastic_box,protected,0
13.73,235.98,20.02,22.94,28.66,41.86,2.84,3,metal_rack,unprotected,0
13.86,225.41,14.31,27.73,31.12,44.07,0.08,1,metal_rack,unprotected,0
5.25,246.02,22.08,28.14,23.42,47.82,2.54,2,metal_rack,protected,0
6.3,240.86,13.92,25.63,37.35,54.08,1.52,1,plastic_box,protected,0
8.03,227.67,19.46,26.33,35.96,38.52,5.82,5,metal_rack,protected,0
0.42,241.5,23.83,25.37,23.7,54.72,5.09,1,cardboard_pallet,unprotected,0
0.0,227.29,21.02,25.99,31.15,63.94,0.0,5,metal_rack,protected,1
15.68,234.27,17.67,27.55,23.86,62.43,0.0,1,plastic_box,unprotected,0
8.77,229.08,12.63,25.8,35.3,39.24,1.31,1,metal_rack,unprotected,0
