lot_id,api_pct,citrate_buffer_pct,citric_acid_pct,sweetener_pct,preservative_pct,water_ph,prev_lot_ph,mixing_temp_c,mixing_time_min,agitation_rpm,addition_order,final_ph,lot_approved
1,3.93,3.32,0.5,5.0,0.09,6.51,5.01,24.45,52.34,300.0,3,5.42,1
2,1.0,2.1,0.6,8.77,0.32,6.43,3.91,29.96,25.02,300.0,2,4.44,0
3,4.07,3.17,1.03,25.0,0.74,6.24,4.12,18.57,44.35,300.0,2,4.21,0
4,1.0,0.81,0.5,10.44,0.2,6.19,5.86,19.64,60.0,216.0,2,5.46,1
5,1.6,4.71,1.99,14.92,0.3,6.36,4.36,21.58,11.64,207.1,1,2.63,0
6,3.71,3.77,0.5,25.0,0.57,6.31,5.79,20.54,26.02,300.0,1,4.82,1
7,1.48,2.98,1.2,25.0,0.91,6.16,5.27,17.54,58.56,300.0,1,4.94,1
8,2.85,2.59,0.9,25.0,0.76,6.28,4.15,23.13,46.36,300.0,3,4.47,0
9,4.65,3.15,1.56,14.71,0.7,6.63,5.11,19.15,23.68,300.0,2,3.64,0
10,3.07,0.97,0.5,25.0,0.12,7.06,5.07,32.49,30.56,300.0,3,6.15,0
11,1.04,3.1,0.65,25.0,0.66,6.2,4.37,16.16,20.5,300.0,3,4.51,1
12,1.88,4.74,0.67,8.55,0.59,6.8,5.03,25.14,56.28,289.8,2,4.11,0
13,1.0,4.7,1.7,14.27,0.63,6.78,4.85,31.79,56.37,300.0,1,3.44,0
14,3.41,4.25,1.48,21.65,0.29,6.28,5.11,30.08,43.77,300.0,2,3.59,0
15,3.39,3.05,0.82,13.37,0.77,6.92,5.99,30.61,15.13,211.6,1,4.69,1
16,3.78,1.52,0.84,9.01,0.8,6.36,5.7,29.88,9.25,300.0,3,5.16,1
17,1.45,2.0,0.56,6.33,0.19,6.49,4.4,16.52,49.98,300.0,2,5.21,1
18,2.72,2.11,1.2,25.0,0.15,6.66,5.24,32.93,20.54,300.0,1,4.68,1
19,1.0,3.14,1.74,8.46,0.51,7.21,4.29,33.2,25.12,137.9,2,2.97,0
20,4.3,3.92,1.08,25.0,0.08,6.22,4.65,26.36,39.4,114.6,1,4.19,0
21,3.45,1.74,1.57,25.0,0.46,7.45,4.55,25.3,27.83,237.7,3,4.57,1
22,2.79,5.0,1.32,15.12,0.66,6.03,5.54,20.39,31.38,300.0,3,3.85,0
23,2.08,1.5,1.15,15.23,0.76,6.71,5.35,16.55,44.83,300.0,2,4.81,1
24,2.88,3.32,0.5,25.0,0.11,6.91,5.05,22.3,30.8,300.0,3,5.21,1
25,4.33,2.54,1.18,25.0,0.87,6.85,5.24,21.43,13.51,300.0,3,4.64,1
26,3.78,3.02,0.82,7.86,0.39,6.91,4.68,32.1,44.91,194.8,2,4.01,0
27,4.66,4.59,0.82,22.49,0.53,7.03,4.74,23.15,51.18,300.0,1,4.57,1
28,3.5,1.91,0.55,10.5,0.85,6.48,4.85,33.89,40.44,300.0,2,4.76,1
29,1.0,3.56,1.01,25.0,0.72,7.08,5.78,29.83,47.36,300.0,3,4.93,1
30,1.0,4.1,0.93,25.0,0.62,6.8,4.27,34.09,15.96,300.0,1,3.65,0
31,4.13,4.48,1.23,8.76,0.71,6.6,4.47,33.69,20.51,300.0,3,3.48,0
32,3.98,4.42,0.9,10.92,0.28,6.81,4.52,28.42,52.04,300.0,2,4.02,0
33,3.54,1.29,0.59,12.73,0.47,7.08,5.66,31.93,40.64,300.0,1,6.06,0
34,2.19,1.55,1.17,25.0,0.4,7.08,4.2,27.62,27.9,300.0,2,4.61,1
35,4.47,2.8,1.98,25.0,0.84,7.14,4.17,27.39,41.59,300.0,1,4.0,0
36,3.46,2.4,0.5,25.0,0.36,6.21,4.0,29.21,37.04,300.0,1,5.13,1
37,4.66,2.98,0.5,25.0,0.5,7.37,4.16,30.46,12.42,114.4,1,4.46,1
38,4.86,2.52,0.81,5.12,0.13,6.6,5.35,31.04,11.4,300.0,2,4.74,1
39,1.96,2.64,1.45,16.75,0.4,7.16,4.37,33.48,26.57,300.0,3,4.1,0
40,4.4,3.38,0.5,7.27,0.11,6.44,5.06,24.03,43.18,300.0,3,5.49,1
41,3.71,4.46,1.28,15.02,0.94,6.14,5.46,24.01,57.0,300.0,1,4.29,0
42,1.0,5.0,0.74,20.75,0.93,7.5,4.67,25.8,7.82,71.1,1,3.16,0
43,4.63,3.36,0.5,19.98,0.4,7.39,4.64,34.63,50.02,300.0,3,5.19,1
44,5.01,2.69,1.99,25.0,0.86,7.09,4.13,26.6,42.39,300.0,1,3.94,0
45,1.0,0.94,1.65,13.01,0.75,7.09,4.9,27.0,33.13,300.0,2,4.71,1
46,2.36,3.79,1.12,25.0,0.45,6.37,4.06,16.51,10.17,300.0,3,3.86,0
47,4.37,3.79,1.55,25.0,0.83,7.0,5.52,33.76,39.74,300.0,2,3.44,0
48,4.02,0.89,0.79,11.26,0.12,7.08,4.2,32.02,40.19,255.6,2,5.2,1
49,1.0,3.11,1.06,16.82,0.92,6.32,5.47,31.75,14.4,300.0,3,4.19,0
50,3.03,3.32,0.5,16.28,0.5,6.95,4.52,21.46,5.0,300.0,1,4.71,1
51,2.39,1.25,0.5,25.0,0.85,7.13,5.81,20.1,15.6,260.5,1,5.8,0
52,1.16,3.43,1.73,25.0,0.42,6.81,5.4,27.56,58.24,300.0,1,4.23,0
53,1.61,4.22,0.5,8.97,0.58,7.49,4.18,31.9,51.77,114.2,3,4.54,1
54,3.63,3.72,0.51,14.64,0.44,6.34,4.24,32.46,54.03,300.0,2,4.58,1
55,3.23,2.64,0.56,25.0,0.8,7.22,4.9,27.75,28.97,300.0,3,5.13,1
56,1.0,4.08,0.5,13.34,0.21,7.33,5.68,18.41,35.06,300.0,2,4.89,1
57,3.72,3.45,1.34,25.0,0.69,6.67,5.5,17.7,59.57,204.8,2,3.97,0
58,2.48,1.78,0.97,25.0,0.85,6.34,5.58,32.88,32.74,284.0,1,4.85,1
59,3.32,2.6,0.62,25.0,0.41,6.48,5.35,23.57,12.94,300.0,1,5.02,1
60,4.62,4.94,1.33,25.0,0.49,6.06,4.51,32.55,36.76,161.9,2,3.04,0
61,1.62,4.65,1.16,25.0,0.35,6.16,5.13,32.93,40.58,286.1,3,4.17,0
62,1.0,2.95,1.26,10.44,0.17,6.25,4.79,15.65,24.43,176.7,2,3.86,0
63,2.92,2.51,0.87,25.0,0.76,7.36,4.96,20.23,19.4,286.3,2,4.54,0
64,1.0,4.45,0.58,24.16,0.69,7.48,4.65,18.62,24.61,232.7,1,4.01,0
65,1.0,1.12,1.77,21.52,0.17,6.62,4.93,30.07,36.72,300.0,2,4.17,0
66,3.32,5.0,1.37,21.4,0.43,6.62,5.61,16.62,10.72,300.0,1,3.48,0
67,1.0,1.4,1.49,25.0,0.76,6.69,4.47,21.43,20.53,300.0,2,4.55,1
68,1.69,4.22,1.32,19.96,0.78,7.41,5.39,16.63,18.87,183.6,3,3.65,0
69,2.56,2.2,0.5,25.0,0.32,7.04,5.4,29.55,5.0,300.0,2,5.29,1
70,1.22,3.31,0.5,5.0,0.39,6.02,5.11,31.09,46.7,300.0,1,4.95,1
