voltage_v,current_a,wire_feed_speed_mm_s,material_temp_c,ambient_temp_c,travel_speed_mm_s,torch_angle_deg,ctwd_mm,gas_flow_l_min,co2_pct,thickness_mm,steel_type,rust_level,surface_grease,wire_diameter_mm,roller_wear_pct,arc_stability_rms,weld_penetration_pct
28.51,210.63,72.34,35.12,16.53,9.14,60.0,11.89,14.08,17.62,2.22,0,1.9,3.0,0.82,41.09,0.81,73.42
21.4,168.0,83.28,34.34,28.2,9.37,60.0,18.81,17.87,22.97,2.52,0,3.0,3.0,0.83,16.38,1.15,38.96
26.95,159.56,101.9,22.23,25.77,6.09,60.0,10.0,19.37,16.55,1.95,0,3.0,3.0,0.93,7.54,1.02,45.71
29.83,149.44,79.07,44.37,29.02,6.44,60.0,17.63,10.0,24.01,2.92,1,3.0,2.64,0.83,34.65,1.08,35.98
21.07,138.89,65.96,21.47,22.99,6.24,60.0,12.25,15.38,22.75,2.6,1,3.0,3.0,0.82,17.45,0.43,24.16
25.32,147.36,77.13,37.24,23.32,11.95,60.0,14.96,13.22,13.15,4.24,0,3.0,3.0,0.78,36.63,0.71,33.78
26.94,239.31,106.83,39.62,28.35,5.75,60.0,14.19,10.21,25.0,2.28,0,0.45,2.71,1.0,38.39,0.45,81.23
26.04,204.23,58.34,43.33,27.74,6.05,60.0,14.21,14.42,25.0,2.68,1,3.0,3.0,0.97,37.95,0.37,54.96
21.28,190.26,58.29,17.99,28.89,9.05,60.0,14.73,10.0,19.97,2.08,0,3.0,3.0,0.78,32.74,0.9,21.02
18.11,136.43,95.36,45.88,30.65,8.76,60.0,15.24,18.67,21.69,3.06,2,3.0,2.45,0.99,22.09,1.05,43.32
26.5,185.78,50.0,41.22,25.76,7.37,60.0,14.37,13.88,18.03,3.3,0,3.0,3.0,0.99,30.17,0.61,38.62
24.68,185.14,94.06,20.28,19.15,10.0,60.0,17.61,15.64,15.81,2.96,0,1.69,2.06,0.8,44.45,0.63,67.09
26.1,132.48,72.78,45.25,26.82,4.51,60.0,17.23,14.79,16.25,1.97,0,3.0,3.0,0.8,22.27,0.74,35.38
21.58,161.39,110.95,39.23,26.23,11.09,60.0,24.67,19.0,25.0,2.65,2,3.0,3.0,0.81,25.19,0.6,47.07
27.86,216.11,50.0,34.71,16.64,9.6,60.0,10.84,15.88,9.75,2.32,0,3.0,1.31,1.01,51.63,0.68,45.83
30.37,205.96,136.74,40.89,27.54,10.38,60.0,20.05,16.08,17.99,3.0,0,1.64,3.0,0.99,7.71,0.33,89.76
24.65,228.58,77.79,30.09,31.48,10.33,60.0,11.29,13.22,10.59,1.36,0,0.0,3.0,0.98,35.49,0.55,64.87
22.18,150.02,75.36,41.88,24.59,9.49,60.0,18.35,16.57,20.73,1.56,1,2.07,3.0,0.83,52.66,0.53,41.54
26.01,152.51,110.46,22.21,32.03,8.19,60.0,17.48,13.62,25.0,2.21,0,0.36,3.0,0.81,40.69,0.81,70.09
21.75,207.34,110.05,20.96,22.91,6.13,60.0,22.34,14.07,20.29,2.35,2,3.0,3.0,0.84,47.88,1.28,51.52
23.13,153.4,100.39,40.08,21.93,11.78,60.0,10.21,17.53,25.0,3.03,0,2.78,3.0,0.79,32.3,0.66,40.52
19.36,138.53,80.61,38.0,27.97,8.37,60.0,13.09,18.33,13.45,3.89,1,3.0,3.0,0.82,6.0,0.32,35.61
21.77,185.78,90.15,32.4,25.93,7.74,60.0,17.6,16.46,10.36,3.84,1,3.0,1.35,0.78,8.2,1.07,49.75
20.01,140.83,98.68,30.54,28.37,7.43,60.0,10.28,13.08,21.88,2.09,0,2.11,3.0,0.79,4.24,0.71,43.83
26.12,157.19,81.33,38.8,25.81,7.57,60.0,15.82,19.36,21.63,2.06,1,3.0,3.0,0.76,6.91,0.89,40.94
22.69,151.07,91.27,42.37,21.76,11.15,60.0,10.8,16.84,25.0,3.21,0,3.0,3.0,0.76,32.99,0.61,43.15
22.8,175.52,129.9,41.2,26.13,11.75,60.0,19.03,16.28,16.9,1.98,0,3.0,1.05,1.2,12.05,0.85,68.85
24.63,182.15,81.33,38.84,26.52,7.08,60.0,13.53,19.31,23.87,4.1,0,3.0,3.0,1.24,49.12,1.21,46.61
18.82,140.99,81.75,27.72,22.16,8.0,60.0,19.74,16.35,21.86,2.58,0,1.17,3.0,0.99,13.17,0.26,24.26
24.1,122.74,92.55,47.72,31.09,5.93,60.0,20.63,23.97,25.0,2.65,2,3.0,3.0,1.02,35.67,0.74,30.79
23.07,156.84,122.25,22.42,23.01,7.39,60.0,10.66,13.0,13.59,1.92,0,3.0,3.0,0.79,28.24,0.77,59.51
23.4,162.72,78.88,29.83,27.13,11.92,60.0,14.15,10.0,11.92,2.41,0,3.0,3.0,0.83,25.64,0.75,35.21
27.01,234.25,81.01,43.73,32.73,12.0,60.0,16.87,17.9,23.78,2.61,0,0.56,2.61,0.84,32.84,0.56,76.34
27.29,170.74,134.87,37.67,19.15,8.14,60.0,12.94,17.08,21.4,2.56,0,3.0,3.0,1.01,0.0,1.18,58.09
26.05,214.06,89.39,29.18,28.52,5.79,60.0,18.11,12.31,15.57,3.2,0,3.0,0.71,0.83,42.33,0.99,75.61
27.51,180.43,57.12,50.0,19.8,6.16,60.0,17.7,21.38,18.74,1.51,0,3.0,3.0,0.81,14.8,0.69,31.04
18.75,142.95,102.12,22.74,23.84,6.95,60.0,15.73,21.99,17.06,1.95,1,3.0,3.0,1.25,42.26,0.83,26.04
25.85,175.04,119.14,32.55,33.09,10.59,60.0,13.57,15.16,18.06,3.0,1,3.0,3.0,0.82,58.76,0.54,56.0
21.5,153.24,89.19,25.76,17.55,8.91,60.0,15.93,17.01,22.95,2.1,0,3.0,3.0,0.76,6.94,0.84,37.68
24.41,139.66,94.7,31.01,28.53,7.44,60.0,13.25,13.59,16.75,3.98,0,3.0,3.0,1.01,23.85,0.89,45.15
29.56,218.03,96.23,41.14,33.03,6.72,60.0,18.37,15.57,12.58,2.39,0,3.0,3.0,0.78,59.74,0.97,53.82
27.61,199.55,84.14,32.79,31.07,9.24,60.0,16.89,16.77,20.21,4.04,1,3.0,1.51,0.79,59.56,0.92,59.67
21.19,130.44,68.46,29.89,22.24,8.05,60.0,10.0,14.98,25.0,1.78,0,3.0,0.86,1.02,15.33,0.58,26.97
23.23,120.57,77.91,50.0,33.51,6.23,60.0,18.32,14.72,18.34,1.52,0,3.0,2.07,0.78,34.33,0.79,23.7
18.89,115.0,79.18,24.02,20.52,6.44,60.0,17.04,13.3,21.06,2.58,1,3.0,3.0,0.82,32.0,1.42,32.29
28.4,199.91,90.67,38.54,27.96,7.35,60.0,18.05,10.43,17.49,2.52,0,2.4,3.0,0.77,23.81,0.71,61.6
20.38,127.47,101.97,22.94,21.6,7.76,60.0,15.82,22.0,15.54,1.91,1,3.0,3.0,1.24,43.85,0.93,26.91
30.04,208.45,52.49,23.33,31.96,11.62,60.0,17.89,10.6,11.78,1.9,0,3.0,3.0,1.0,0.0,1.0,48.96
23.75,141.81,67.63,26.51,24.21,8.83,60.0,14.73,11.78,15.32,2.47,1,0.0,3.0,0.78,10.21,1.09,35.99
21.63,157.63,92.27,18.34,23.49,9.03,60.0,13.29,11.74,13.19,3.01,0,3.0,1.61,0.8,9.53,0.55,46.8
24.83,195.88,79.1,23.32,19.5,9.56,60.0,12.46,17.59,19.3,3.02,1,3.0,1.08,0.98,14.23,0.89,52.46
32.86,185.9,73.06,28.28,29.22,9.11,60.0,16.03,17.8,17.89,3.99,0,3.0,3.0,1.24,6.67,0.91,60.3
29.61,224.99,91.75,25.17,16.83,9.26,60.0,16.83,13.62,17.91,3.01,0,3.0,3.0,0.78,32.21,0.46,74.74
27.28,148.25,103.17,30.83,23.4,10.36,60.0,10.0,17.41,22.56,2.58,0,3.0,3.0,0.99,13.7,0.84,45.5
28.67,192.12,79.55,31.44,16.18,6.78,60.0,15.86,14.09,20.75,2.07,0,0.79,3.0,1.02,51.34,0.85,50.51
24.82,186.47,98.89,49.35,20.62,5.71,60.0,18.78,20.74,24.23,1.5,0,2.48,2.59,0.78,34.23,0.62,55.26
22.04,153.15,81.4,23.12,15.31,9.79,60.0,17.5,16.79,18.92,2.93,1,1.04,3.0,0.8,14.66,0.72,40.5
27.3,185.28,109.32,23.93,23.2,5.61,60.0,12.93,18.1,18.01,4.21,1,3.0,3.0,0.78,34.4,0.57,53.07
24.29,152.41,84.94,34.7,20.87,5.58,60.0,12.58,17.19,22.57,2.59,0,3.0,3.0,0.77,14.03,0.88,48.86
20.39,138.98,78.32,32.45,26.68,7.75,60.0,14.98,16.89,13.98,2.7,0,3.0,3.0,1.19,20.81,0.44,9.1
19.11,139.93,75.32,46.13,22.54,7.33,60.0,17.73,19.69,16.49,2.45,0,3.0,3.0,0.81,18.43,1.41,22.66
22.99,136.48,79.08,28.33,14.3,6.05,60.0,18.86,18.13,21.19,4.06,1,3.0,2.78,1.01,48.92,0.97,43.65
23.14,160.57,118.04,29.06,19.47,4.69,60.0,10.34,15.33,21.5,2.57,1,0.95,2.35,1.19,45.13,0.57,67.14
18.96,153.57,82.27,25.16,32.78,7.86,60.0,14.19,12.96,17.56,2.51,1,3.0,3.0,0.79,13.21,0.75,31.46
25.86,225.41,94.8,38.74,36.34,6.21,60.0,14.47,17.6,22.44,2.08,0,3.0,1.92,1.21,7.77,0.71,79.97
22.32,166.44,102.26,33.39,23.3,6.11,60.0,16.81,16.04,19.06,3.02,1,3.0,3.0,0.84,48.51,0.73,43.75
25.65,126.37,61.92,18.3,22.75,9.98,60.0,17.68,13.82,25.0,2.76,0,3.0,3.0,1.01,27.51,0.95,25.91
22.78,147.6,136.47,44.24,16.85,12.42,60.0,10.0,13.69,17.9,1.51,1,3.0,0.6,1.0,44.03,0.38,68.55
20.76,169.05,86.04,46.62,20.48,7.97,60.0,10.73,16.27,22.5,4.09,0,2.87,3.0,0.83,8.12,0.69,48.87
23.91,127.67,50.0,19.4,9.04,8.02,60.0,18.78,13.9,18.34,2.52,1,3.0,3.0,0.81,19.05,0.64,12.97
29.24,214.71,78.38,23.78,20.68,5.95,60.0,15.75,15.16,12.42,1.89,0,0.22,3.0,1.02,31.62,1.06,63.04
24.98,216.79,100.91,38.58,24.98,8.35,60.0,19.61,14.99,18.51,3.02,1,1.49,3.0,1.2,1.14,1.04,72.09
21.59,166.34,88.0,33.14,20.97,7.59,60.0,12.77,16.81,21.26,3.06,0,3.0,3.0,0.94,55.47,0.68,37.08
21.85,181.8,85.73,31.6,30.4,10.1,60.0,13.96,14.84,20.6,3.06,0,1.6,3.0,0.8,14.2,0.73,51.82
21.08,165.28,63.8,32.66,23.81,7.75,60.0,12.25,13.34,18.81,2.53,2,1.11,3.0,1.01,22.06,0.7,34.97
22.36,170.79,77.68,22.19,28.34,7.62,60.0,20.36,15.83,16.68,2.98,1,2.73,3.0,0.78,31.46,1.03,40.85
24.13,170.98,110.04,39.73,23.62,8.4,60.0,18.55,16.49,19.71,2.03,0,2.52,3.0,1.05,0.0,0.61,57.23
26.04,193.94,55.68,37.52,25.94,7.57,60.0,13.8,12.3,15.7,2.97,0,3.0,3.0,1.04,25.17,0.58,38.02
26.2,216.75,69.75,38.99,23.37,9.5,60.0,15.74,19.35,25.0,2.64,1,3.0,3.0,0.79,0.0,0.84,54.62
25.17,160.31,71.22,20.26,22.55,5.62,60.0,13.97,15.66,18.38,3.01,0,3.0,1.84,1.18,51.43,1.26,42.2
15.49,115.25,110.67,37.03,29.83,11.09,60.0,14.05,16.07,14.18,2.92,0,2.39,3.0,0.98,2.93,0.77,29.71
