vibration_rms_mm_s,vibration_hf_g,bearing_temp_c,motor_current_a,voltage_v,power_factor_pct,speed_rpm,lube_flow_l_min,lube_pressure_bar,internal_humidity_pct,op_status
4.684,1.863,75.11,23.962,455.365,89.807,1443.822,26.371,2.75,19.218,Alert
2.906,1.875,90.252,32.336,460.465,91.414,1394.327,28.322,3.277,37.282,Critical
2.556,0.466,71.355,20.013,456.207,95.642,1473.144,30.801,3.301,23.466,Normal
6.742,2.085,101.682,34.989,458.527,84.061,1402.076,23.93,2.338,30.083,Critical
2.059,0.323,66.622,20.31,456.369,93.738,1460.589,42.462,3.9,32.654,Normal
1.598,0.253,63.061,18.876,466.525,98.844,1463.649,34.463,3.141,20.931,Normal
2.45,0.463,68.194,15.24,457.142,97.023,1448.245,26.424,3.255,23.902,Normal
4.944,1.245,74.405,21.837,461.27,89.714,1496.405,32.989,3.213,34.201,Alert
2.148,0.331,68.25,17.203,467.123,94.278,1507.545,37.468,3.553,13.863,Normal
4.973,1.035,65.532,21.897,459.526,94.263,1553.953,27.829,2.544,21.524,Alert
2.228,0.313,60.971,11.003,455.61,98.488,1458.833,34.055,3.919,34.476,Normal
2.442,0.407,62.252,17.456,460.242,89.015,1487.361,34.193,4.138,25.726,Normal
4.239,0.909,74.13,21.125,455.218,93.858,1425.091,36.39,3.408,28.988,Alert
2.324,0.514,63.909,19.277,460.167,99.855,1554.418,35.475,3.415,22.223,Normal
3.832,1.094,87.01,16.065,445.72,89.712,1512.334,23.845,1.474,31.287,Alert
1.959,0.479,71.461,19.831,454.615,95.204,1489.02,34.164,3.824,28.888,Normal
2.153,0.32,66.399,20.553,456.382,99.199,1460.72,35.612,3.571,26.432,Normal
6.1,1.606,97.641,24.623,470.478,87.987,1430.994,20.083,1.843,36.82,Critical
4.295,0.93,83.518,23.306,454.27,92.345,1547.804,32.077,2.872,19.026,Alert
1.855,0.332,71.737,16.356,466.375,94.319,1520.856,30.07,3.741,21.178,Normal
4.078,1.149,80.962,21.721,461.941,90.058,1505.658,31.668,2.841,30.264,Alert
