ph_final,viscosity_cp,conductivity_ms_cm,density_g_ml,turbidity_ntu,reaction_temp_c,reaction_time_min,active_conc_mg_ml,f1_active_reagent,f2_solvent_salts,f3_agitation_kinetics
6.993,169.656,5.311,1.199,37.636,46.65,45.704,104.216,-0.0869,-0.24,1.8917
6.724,116.714,4.061,1.189,30.887,46.843,38.112,87.908,-0.1304,-0.7352,0.6157
5.662,160.333,0.513,1.183,12.301,40.862,24.518,97.364,0.6427,-2.1938,-1.2201
7.182,196.693,7.623,1.218,34.31,44.766,37.406,120.396,0.9484,0.5601,0.3203
7.142,130.653,5.842,1.196,30.245,47.146,37.433,86.639,-0.3803,-0.0964,1.0919
6.843,188.615,3.724,1.197,37.503,49.962,48.766,97.428,0.1411,-0.7459,2.4083
8.286,166.029,13.181,1.228,28.867,45.566,33.49,109.346,-0.063,2.8367,-0.779
7.518,150.96,10.814,1.212,26.127,44.026,28.453,110.711,0.1011,1.5625,-1.3219
7.202,149.301,6.394,1.205,27.963,46.467,38.35,98.572,-0.033,0.3509,0.3717
6.65,143.452,4.944,1.204,12.413,42.002,23.8,108.584,0.3402,-0.2348,-1.5325
7.267,51.411,5.152,1.155,9.234,42.367,34.818,64.276,-2.2056,-0.6771,-0.3826
7.297,90.629,6.228,1.171,18.995,42.938,35.049,74.583,-1.2329,-0.1937,0.22
7.254,164.761,7.862,1.217,18.224,43.883,31.866,109.237,0.5435,0.8034,-0.7398
6.807,145.21,4.633,1.201,15.91,43.718,28.967,90.421,-0.3192,-0.1874,-0.807
6.747,199.729,6.509,1.219,23.377,44.725,36.188,120.234,1.0811,0.3433,-0.0841
5.296,125.543,0.134,1.174,15.586,41.786,27.341,82.617,0.2858,-2.8187,-0.8946
7.388,146.521,8.103,1.198,31.787,47.168,38.328,100.564,-0.3732,0.6056,0.3346
7.211,187.149,8.395,1.217,38.28,47.725,42.451,120.056,0.7055,0.5111,0.849
6.862,153.577,5.53,1.199,24.173,44.385,32.816,107.397,0.2087,-0.2877,-0.1619
6.543,259.594,7.155,1.246,37.498,45.907,32.321,144.205,2.522,0.4414,0.023
7.767,163.432,10.375,1.216,29.68,48.386,38.147,115.95,-0.0305,1.8003,0.1124
6.883,111.15,3.936,1.187,19.568,45.019,39.436,99.492,-0.3713,-0.5427,0.7408
7.037,68.201,5.708,1.174,10.342,41.852,25.735,72.508,-1.3154,-0.4173,-1.2846
7.173,116.615,6.88,1.187,23.766,44.916,31.006,90.867,-0.5703,0.2569,-0.2945
7.299,176.457,6.744,1.211,34.05,46.861,44.404,105.482,-0.0383,0.1952,1.5048
6.872,135.837,4.489,1.196,11.421,43.584,28.295,91.181,-0.2372,-0.5085,-1.0414
7.505,191.452,8.645,1.213,31.987,47.528,43.597,106.487,0.2439,0.7903,1.2021
5.676,112.91,0.092,1.196,11.189,40.469,26.682,106.802,0.6725,-2.1718,-1.5184
7.089,138.239,4.325,1.189,26.955,47.845,40.431,94.876,-0.3431,-0.4722,1.0482
6.598,106.965,2.817,1.19,10.278,42.72,27.48,93.052,-0.2957,-0.9056,-0.8088
6.357,67.128,0.759,1.167,7.504,41.371,25.662,78.902,-0.8399,-2.0329,-1.1607
8.48,62.002,11.426,1.165,27.654,46.402,42.691,60.281,-2.9181,1.5411,0.7206
7.461,138.526,8.445,1.202,25.344,44.591,31.408,99.023,-0.2201,1.2046,-1.1152
7.074,112.202,5.004,1.178,20.347,44.201,33.767,77.124,-0.9719,-0.393,0.0257
7.146,128.798,5.27,1.194,23.494,45.622,35.139,86.378,-0.5401,-0.2185,-0.1835
7.978,202.601,10.859,1.228,43.26,48.805,41.783,110.178,0.1802,1.7327,1.0546
6.862,58.989,4.393,1.164,4.048,44.068,30.495,66.003,-1.5672,-0.9602,-0.6837
7.477,227.5,9.855,1.231,49.145,48.514,41.424,125.696,1.1535,1.4703,1.4075
6.682,115.756,5.39,1.202,14.099,42.888,23.911,94.184,0.2576,-0.5305,-1.6187
6.506,196.466,3.094,1.191,34.215,48.063,51.003,102.871,0.555,-1.2777,2.757
7.257,158.784,6.851,1.195,40.125,47.979,40.817,91.929,-0.6168,-0.055,1.5818
7.051,189.386,8.791,1.232,25.339,44.714,31.279,128.384,1.3902,1.1797,-1.2289
6.105,242.869,4.242,1.23,40.969,48.485,37.747,132.344,2.118,-0.661,0.7545
7.261,129.461,6.705,1.189,18.034,45.444,37.754,86.927,-0.667,-0.0766,0.2341
7.149,260.118,7.745,1.239,55.57,51.885,46.316,135.83,2.0514,0.8249,1.9796
6.475,143.194,3.816,1.207,18.157,42.612,27.85,101.922,0.3929,-0.7077,-0.674
7.847,115.096,8.469,1.178,32.744,50.395,46.624,75.23,-1.5971,0.4442,2.0937
