department,shift,seniority,contract_type,remote_work,training_status,overtime,manager_rating,absenteeism,performance,attrition
Logistics,Night,Junior,Permanent,Yes,Completed,No,Low,Medium,High,Yes
Production,Day,Mid,Permanent,Yes,Partial,No,Medium,Low,High,No
Operations,Night,Mid,Permanent,Yes,,Yes,Medium,Low,Low,No
Logistics,Day,Mid,Permanent,No,Partial,No,Medium,Low,Medium,No
Quality,Day,Senior,Temporary,No,Completed,No,Medium,Low,Medium,No
Operations,Day,Junior,Temporary,No,,Yes,High,Low,Medium,No
Operations,Night,Mid,Temporary,No,Partial,Yes,Medium,Medium,High,No
Operations,Night,Junior,Permanent,No,Completed,Yes,Medium,Low,High,Yes
Quality,Day,Mid,Temporary,No,Partial,Yes,Medium,Low,Low,No
Admin,Day,Mid,Permanent,No,Partial,Yes,High,Low,Medium,Yes
Operations,Night,Mid,Temporary,No,Completed,Yes,Low,High,Low,Yes
Quality,Day,Junior,Permanent,No,Partial,No,High,Medium,Medium,No
Admin,Day,Mid,Permanent,Yes,Partial,No,Medium,Low,High,No
Operations,Day,Senior,Permanent,No,,No,High,High,Medium,No
Quality,Day,Junior,Permanent,No,Partial,No,Medium,Low,Low,No
Production,Day,Junior,Temporary,No,Completed,Yes,High,Medium,Medium,No
Admin,Day,Mid,Temporary,No,,No,High,Medium,Medium,No
Admin,Day,Senior,Temporary,Yes,Partial,Yes,High,Low,Low,No
Quality,Night,Senior,Permanent,No,Completed,Yes,High,High,Medium,No
Logistics,Day,Junior,Permanent,No,,No,Medium,High,Medium,No
Quality,Day,Senior,Permanent,No,Completed,No,High,Low,High,No
Production,Night,Junior,Permanent,No,,No,High,Low,Medium,Yes
Logistics,Day,Senior,Permanent,Yes,,No,High,Low,Medium,No
Quality,Day,Senior,Temporary,Yes,,Yes,Medium,Medium,High,No
Production,Day,Mid,Permanent,No,,No,Medium,Medium,Low,Yes
Operations,Night,Senior,Permanent,No,Completed,No,Medium,Medium,Medium,No
Operations,Day,Senior,Permanent,No,Partial,No,Low,Medium,Medium,No
Logistics,Night,Mid,Permanent,Yes,Completed,Yes,High,Low,Medium,No
Operations,Day,Junior,Permanent,No,,No,Medium,High,Medium,No
Production,Day,Junior,Permanent,No,Partial,No,Medium,Medium,High,No
Operations,Day,Mid,Temporary,Yes,Partial,Yes,Medium,Low,Medium,No
Operations,Day,Junior,Permanent,No,Completed,Yes,High,Medium,Medium,No
Quality,Night,Junior,Permanent,Yes,Completed,No,Medium,Medium,Low,No
Quality,Day,Mid,Permanent,Yes,Partial,Yes,Medium,Low,Low,No
Operations,Night,Mid,Permanent,Yes,Completed,No,High,Low,High,No
Quality,Night,Junior,Permanent,Yes,Partial,No,Low,High,High,No
Production,Day,Junior,Permanent,Yes,Completed,Yes,High,Low,High,No
Quality,Day,Junior,Permanent,No,Completed,Yes,High,Medium,Low,No
Production,Night,Junior,Permanent,Yes,Partial,No,Medium,High,Medium,No
Quality,Day,Senior,Permanent,No,Completed,Yes,Low,High,Medium,No
Logistics,Night,Mid,Temporary,Yes,Completed,No,High,Low,Medium,No
