tool_temp_c,part_temp_c,vibration_x_mm_s,vibration_y_mm_s,press_force_ton,contact_force_kn,cycle_time_s,energy_kwh,lubricant_flow_lmin,is_anomaly
432.5,840.31,2.8,2.33,235.63,189.35,20.7,25.36,5.71,0
430.33,838.78,2.16,2.31,217.52,170.72,17.98,24.89,4.62,0
425.83,862.12,2.72,3.29,246.26,205.08,17.48,23.77,5.24,0
436.92,828.58,4.32,2.87,220.87,181.16,17.4,23.26,4.96,0
428.13,855.78,2.16,2.74,234.12,190.81,21.03,25.99,4.79,0
433.36,856.62,3.49,3.44,217.85,172.32,18.26,23.41,5.07,0
449.08,854.75,3.79,3.19,237.38,186.18,18.47,24.24,5.11,0
437.58,848.37,2.01,3.33,229.1,181.86,16.06,25.3,4.11,0
429.63,842.8,2.33,4.13,224.66,179.9,17.65,23.97,4.31,0
439.95,828.78,3.5,2.02,234.12,181.94,15.93,19.92,4.51,0
455.52,820.8,2.03,2.84,229.47,183.79,17.6,21.32,4.23,0
434.08,874.66,4.34,3.06,230.02,184.29,18.22,26.6,5.16,0
433.54,843.54,2.48,3.05,235.77,194.56,18.14,25.24,4.7,0
416.18,868.5,3.03,3.7,247.65,204.21,18.2,25.53,4.92,0
429.49,852.72,1.9,2.5,235.04,187.32,19.59,24.53,4.8,0
429.55,825.94,4.26,3.64,239.28,195.14,20.06,22.38,4.7,0
424.34,844.87,3.43,2.98,238.64,191.14,17.1,24.94,4.65,0
426.47,876.15,3.3,3.3,235.23,187.94,19.23,26.48,5.49,0
436.11,850.26,4.68,3.39,237.13,187.31,20.17,26.73,4.93,0
425.48,841.06,3.17,2.9,229.18,179.26,16.99,21.49,5.14,0
422.25,872.12,2.77,1.95,229.48,185.91,20.07,27.84,4.19,0
447.91,864.45,3.41,2.95,231.33,174.37,18.69,23.35,4.67,0
415.03,852.98,2.55,3.03,229.01,181.12,19.53,24.26,4.86,0
427.97,866.96,4.05,1.93,226.29,182.37,16.84,25.25,5.91,0
423.91,877.15,3.88,3.29,242.67,199.84,16.69,26.23,4.31,0
426.68,866.11,3.26,1.86,229.78,189.35,18.49,24.09,4.87,0
438.24,877.6,2.93,3.2,241.67,185.28,19.36,27.54,4.32,0
428.3,870.96,3.09,3.18,238.81,195.28,16.68,24.84,4.93,0
435.56,850.04,2.6,3.4,228.47,184.7,17.75,23.49,5.08,0
415.71,839.89,4.06,3.4,212.72,173.97,18.48,24.62,4.68,0
435.37,854.97,2.79,4.32,218.69,171.14,19.42,22.78,4.33,0
443.07,859.13,2.88,4.05,250.0,197.48,18.75,23.64,5.6,0
420.19,842.59,1.82,4.54,222.02,169.79,17.26,24.1,4.61,0
436.26,825.38,1.24,2.07,224.99,177.39,15.0,21.52,5.21,0
418.89,841.65,2.28,4.04,237.31,184.81,18.11,23.64,4.4,0
434.02,867.28,2.69,3.06,230.43,185.19,18.34,24.05,4.78,0
427.95,875.95,3.58,3.56,239.13,196.12,19.91,24.98,4.48,0
435.68,840.04,2.05,2.99,212.65,171.13,17.29,23.34,5.07,0
424.26,842.52,4.23,2.28,230.19,186.76,17.75,22.6,4.88,0
422.61,856.65,2.36,2.71,221.12,176.84,19.78,26.38,5.36,0
423.74,877.33,2.65,4.06,239.44,192.82,19.32,23.77,5.6,0
427.86,847.24,2.37,2.93,228.97,180.49,16.06,24.31,4.43,0
419.15,862.8,2.47,3.43,232.22,190.04,15.92,24.03,5.23,0
