ct_norm_s1,ct_norm_s2,ct_norm_s3,ct_norm_s4,ct_norm_s5,ct_norm_s6,wip_norm,speed_norm,failure_prob,micro_stops_norm,operator_efficiency,action,reward,throughput_uph,episode,step
0.45,0.56,0.34,0.47,0.48,0.58,0.32,0.76,0.05,0.2,0.86,0,81.44,92.49,0,0
0.46,0.57,0.34,0.46,0.5,0.56,0.35,0.76,0.05,0.13,0.9,4,83.19,93.49,0,1
0.45,0.58,0.35,0.46,0.49,0.57,0.28,0.77,0.05,0.2,0.9,1,86.58,97.8,0,2
0.43,0.58,0.34,0.44,0.45,0.56,0.3,0.8,0.08,0.2,0.9,3,97.41,96.55,0,3
0.45,0.61,0.38,0.43,0.46,0.57,0.3,0.8,0.04,0.0,0.9,0,100.58,97.9,0,4
0.44,0.61,0.37,0.45,0.46,0.55,0.28,0.8,0.04,0.0,0.91,5,95.22,98.06,0,5
0.43,0.59,0.36,0.44,0.48,0.57,0.3,0.8,0.04,0.07,0.91,5,90.29,98.51,0,6
0.41,0.59,0.36,0.43,0.46,0.58,0.32,0.8,0.04,0.13,0.91,5,84.63,98.31,0,7
0.42,0.59,0.36,0.44,0.47,0.57,0.35,0.8,0.03,0.2,0.91,5,81.57,97.76,0,8
0.42,0.58,0.37,0.46,0.48,0.58,0.32,0.8,0.02,0.27,0.91,3,87.03,96.69,0,9
0.42,0.58,0.38,0.49,0.49,0.61,0.35,0.8,0.0,0.13,0.91,4,85.78,97.8,0,10
0.41,0.56,0.38,0.5,0.5,0.61,0.32,0.8,0.01,0.2,0.91,3,91.18,96.82,0,11
0.43,0.58,0.39,0.51,0.53,0.6,0.35,0.8,0.0,0.07,0.91,3,96.39,96.57,0,12
0.44,0.57,0.39,0.52,0.54,0.61,0.32,0.8,0.0,0.0,0.91,0,92.43,96.61,0,13
0.46,0.56,0.4,0.52,0.55,0.63,0.32,0.8,0.0,0.07,0.92,1,95.71,101.67,0,14
0.42,0.54,0.36,0.5,0.54,0.62,0.3,0.83,0.03,0.13,0.92,1,101.06,106.31,0,15
0.4,0.51,0.33,0.48,0.53,0.6,0.3,0.85,0.05,0.13,0.92,4,101.66,107.59,0,16
0.38,0.5,0.34,0.47,0.53,0.61,0.25,0.86,0.04,0.2,0.92,3,113.85,106.24,0,17
0.39,0.52,0.36,0.49,0.53,0.63,0.22,0.86,0.01,0.0,0.92,5,112.57,106.45,0,18
0.41,0.5,0.36,0.48,0.53,0.62,0.25,0.86,0.02,0.0,0.92,4,118.45,107.6,0,19
0.42,0.51,0.35,0.48,0.52,0.62,0.18,0.87,0.02,0.0,0.92,3,113.51,106.67,0,20
0.42,0.53,0.36,0.47,0.53,0.65,0.18,0.87,0.0,0.07,0.92,2,101.86,100.3,0,21
0.46,0.57,0.42,0.51,0.57,0.7,0.18,0.85,0.0,0.13,0.92,0,105.42,102.05,0,22
0.46,0.57,0.42,0.52,0.59,0.71,0.15,0.85,0.0,0.13,0.94,2,98.14,97.2,0,23
0.49,0.59,0.43,0.54,0.65,0.72,0.18,0.82,0.0,0.13,0.94,4,98.06,98.04,0,24
0.49,0.61,0.43,0.54,0.66,0.7,0.12,0.83,0.01,0.2,0.94,5,92.35,97.85,0,25
