episode,step,ph_t,temp_t_c,volume_t_l,buffer_capacity,action,dose_ml,ph_t1,temp_t1_c,volume_t1_l,reward,done
0,0,5.8477,27.3199,1019.7317,0.9092,2,1.0,6.6009,27.3152,1020.2317,-4.1913,False
0,1,6.6009,27.3152,1020.2317,0.9092,4,-1.0,5.4486,27.3942,1019.7317,-15.7139,False
0,2,5.4486,27.3942,1019.7317,0.9092,4,-1.0,5.2388,27.3651,1019.2317,-17.8121,False
0,3,5.2388,27.3651,1019.2317,0.9092,4,-1.0,5.0298,27.4382,1018.7317,-19.9021,False
0,4,5.0298,27.4382,1018.7317,0.9092,4,-1.0,4.9128,27.352,1018.2317,-21.0716,False
0,5,4.9128,27.352,1018.2317,0.9092,2,1.0,5.3567,27.3254,1018.7317,-16.6329,False
0,6,5.3567,27.3254,1018.7317,0.9092,3,-0.5,5.2461,27.2902,1018.4817,-17.6387,False
0,7,5.2461,27.2902,1018.4817,0.9092,2,1.0,5.7174,27.2974,1018.9817,-13.0256,False
0,8,5.7174,27.2974,1018.9817,0.9092,0,0.0,5.7167,27.3035,1018.9817,-12.8325,False
0,9,5.7167,27.3035,1018.9817,0.9092,4,-1.0,5.397,27.2888,1018.4817,-16.2297,False
0,10,5.397,27.2888,1018.4817,0.9092,0,0.0,5.3964,27.2588,1018.4817,-16.0356,False
0,11,5.3964,27.2588,1018.4817,0.9092,3,-0.5,5.2767,27.2977,1018.2317,-17.3327,False
0,12,5.2767,27.2977,1018.2317,0.9092,3,-0.5,5.1439,27.271,1017.9817,-18.6611,False
0,13,5.1439,27.271,1017.9817,0.9092,0,0.0,5.1438,27.3122,1017.9817,-18.5622,False
0,14,5.1438,27.3122,1017.9817,0.9092,1,0.5,5.3622,27.2433,1018.2317,-16.4781,False
0,15,5.3622,27.2433,1018.2317,0.9092,3,-0.5,5.244,27.2542,1017.9817,-17.6599,False
0,16,5.244,27.2542,1017.9817,0.9092,3,-0.5,5.1734,27.2484,1017.7317,-18.3659,False
0,17,5.1734,27.2484,1017.7317,0.9092,4,-1.0,4.9814,27.2871,1017.2317,-20.3859,False
0,18,4.9814,27.2871,1017.2317,0.9092,1,0.5,5.2024,27.2919,1017.4817,-18.0756,False
0,19,5.2024,27.2919,1017.4817,0.9092,4,-1.0,5.0276,27.3081,1016.9817,-19.9241,False
0,20,5.0276,27.3081,1016.9817,0.9092,0,0.0,5.0199,27.306,1016.9817,-19.8012,False
0,21,5.0199,27.306,1016.9817,0.9092,0,0.0,5.0144,27.3351,1016.9817,-19.8562,False
0,22,5.0144,27.3351,1016.9817,0.9092,2,1.0,5.5222,27.3589,1017.4817,-14.9778,False
0,23,5.5222,27.3589,1017.4817,0.9092,1,0.5,5.8707,27.3169,1017.7317,-11.3934,False
0,24,5.8707,27.3169,1017.7317,0.9092,0,0.0,5.8645,27.2415,1017.7317,-11.3553,True
1,0,6.2698,20.6356,962.1965,1.0276,2,1.0,7.1671,20.6675,962.6965,3.1293,True
2,0,4.0689,29.7171,1069.7828,1.3052,2,1.0,4.3381,29.5861,1070.2828,-26.8189,False
2,1,4.3381,29.5861,1070.2828,1.3052,1,0.5,4.4921,29.5171,1070.5328,-25.179,False
2,2,4.4921,29.5171,1070.5328,1.3052,0,0.0,4.4865,29.5217,1070.5328,-25.1351,False
2,3,4.4865,29.5217,1070.5328,1.3052,4,-1.0,4.3494,29.495,1070.0328,-26.7065,False
2,4,4.3494,29.495,1070.0328,1.3052,2,1.0,4.5642,29.5761,1070.5328,-24.5584,False
2,5,4.5642,29.5761,1070.5328,1.3052,3,-0.5,4.5481,29.6219,1070.2828,-24.6188,False
2,6,4.5481,29.6219,1070.2828,1.3052,3,-0.5,4.5177,29.6011,1070.0328,-24.9235,False
2,7,4.5177,29.6011,1070.0328,1.3052,2,1.0,4.7511,29.5624,1070.5328,-22.6894,False
2,8,4.7511,29.5624,1070.5328,1.3052,0,0.0,4.7439,29.5273,1070.5328,-22.5614,False
2,9,4.7439,29.5273,1070.5328,1.3052,0,0.0,4.7373,29.4599,1070.5328,-22.6269,False
2,10,4.7373,29.4599,1070.5328,1.3052,2,1.0,5.0057,29.3891,1071.0328,-20.143,False
2,11,5.0057,29.3891,1071.0328,1.3052,2,1.0,5.327,29.3438,1071.5328,-16.9298,False
2,12,5.327,29.3438,1071.5328,1.3052,2,1.0,5.6908,29.3545,1072.0328,-13.2917,False
2,13,5.6908,29.3545,1072.0328,1.3052,0,0.0,5.6504,29.3214,1072.0328,-13.4962,False
2,14,5.6504,29.3214,1072.0328,1.3052,1,0.5,5.8782,29.2254,1072.2828,-11.3179,False
2,15,5.8782,29.2254,1072.2828,1.3052,0,0.0,5.8777,29.2222,1072.2828,-11.2232,False
2,16,5.8777,29.2222,1072.2828,1.3052,4,-1.0,5.6342,29.2841,1071.7828,-13.8578,False
2,17,5.6342,29.2841,1071.7828,1.3052,1,0.5,5.8214,29.1591,1072.0328,-11.8861,False
2,18,5.8214,29.1591,1072.0328,1.3052,3,-0.5,5.7469,29.1484,1071.7828,-12.6312,False
2,19,5.7469,29.1484,1071.7828,1.3052,0,0.0,5.7331,29.1083,1071.7828,-12.669,False
2,20,5.7331,29.1083,1071.7828,1.3052,3,-0.5,5.6668,29.106,1071.5328,-13.4323,False
2,21,5.6668,29.106,1071.5328,1.3052,0,0.0,5.6711,29.1074,1071.5328,-13.2889,False
2,22,5.6711,29.1074,1071.5328,1.3052,4,-1.0,5.4332,29.0866,1071.0328,-15.8677,False
2,23,5.4332,29.0866,1071.0328,1.3052,3,-0.5,5.379,29.0871,1070.7828,-16.3099,False
2,24,5.379,29.0871,1070.7828,1.3052,2,1.0,5.7669,29.0511,1071.2828,-12.5312,True
3,0,5.311,29.4052,979.5144,1.1624,0,0.0,5.3344,29.4489,979.5144,-16.6557,False
3,1,5.3344,29.4489,979.5144,1.1624,1,0.5,5.5777,29.3874,979.7644,-14.3233,False
3,2,5.5777,29.3874,979.7644,1.1624,1,0.5,5.8278,29.4062,980.0144,-11.822,False
3,3,5.8278,29.4062,980.0144,1.1624,0,0.0,5.8213,29.396,980.0144,-11.7869,False
3,4,5.8213,29.396,980.0144,1.1624,3,-0.5,5.7178,29.4036,979.7644,-12.9219,False
3,5,5.7178,29.4036,979.7644,1.1624,0,0.0,5.7371,29.3503,979.7644,-12.6289,False
3,6,5.7371,29.3503,979.7644,1.1624,2,1.0,6.279,29.4036,980.2644,-7.4102,False
3,7,6.279,29.4036,980.2644,1.1624,0,0.0,6.2654,29.4152,980.2644,-7.3462,False
3,8,6.2654,29.4152,980.2644,1.1624,3,-0.5,6.0325,29.4576,980.0144,-9.7751,False
3,9,6.0325,29.4576,980.0144,1.1624,2,1.0,6.7282,29.4494,980.5144,-2.9179,False
3,10,6.7282,29.4494,980.5144,1.1624,0,0.0,6.7655,29.473,980.5144,-2.3447,False
3,11,6.7655,29.473,980.5144,1.1624,4,-1.0,5.4837,29.4253,980.0144,-15.3628,False
3,12,5.4837,29.4253,980.0144,1.1624,0,0.0,5.4571,29.4241,980.0144,-15.4288,False
3,13,5.4571,29.4241,980.0144,1.1624,2,1.0,5.9486,29.5189,980.5144,-10.7142,False
3,14,5.9486,29.5189,980.5144,1.1624,3,-0.5,5.8616,29.5262,980.2644,-11.4837,False
3,15,5.8616,29.5262,980.2644,1.1624,4,-1.0,5.6093,29.5248,979.7644,-14.1075,False
3,16,5.6093,29.5248,979.7644,1.1624,2,1.0,6.1185,29.5974,980.2644,-9.0155,False
3,17,6.1185,29.5974,980.2644,1.1624,3,-0.5,5.9505,29.6172,980.0144,-10.5952,False
3,18,5.9505,29.6172,980.0144,1.1624,3,-0.5,5.7661,29.666,979.7644,-12.4393,False
3,19,5.7661,29.666,979.7644,1.1624,2,1.0,6.3266,29.6755,980.2644,-6.9345,False
3,20,6.3266,29.6755,980.2644,1.1624,4,-1.0,5.8083,29.7009,979.7644,-12.1172,False
3,21,5.8083,29.7009,979.7644,1.1624,4,-1.0,5.5414,29.7379,979.2644,-14.7857,False
3,22,5.5414,29.7379,979.2644,1.1624,4,-1.0,5.3525,29.7404,978.7644,-16.6745,False
3,23,5.3525,29.7404,978.7644,1.1624,3,-0.5,5.2437,29.6647,978.5144,-17.6628,False
3,24,5.2437,29.6647,978.5144,1.1624,0,0.0,5.2252,29.639,978.5144,-17.748,True
4,0,5.9971,26.9603,1014.0122,0.868,1,0.5,6.4419,26.9175,1014.2622,-5.6805,False
4,1,6.4419,26.9175,1014.2622,0.868,1,0.5,7.0825,26.9612,1014.5122,4.0755,True
5,0,6.2463,27.0248,971.8982,1.0055,1,0.5,6.7274,27.0377,972.1482,-2.8259,False
5,1,6.7274,27.0377,972.1482,1.0055,4,-1.0,5.3271,27.0625,971.6482,-16.9291,False
5,2,5.3271,27.0625,971.6482,1.0055,3,-0.5,5.186,27.1625,971.3982,-18.2402,False
5,3,5.186,27.1625,971.3982,1.0055,2,1.0,5.7259,27.0691,971.8982,-12.9415,False
5,4,5.7259,27.0691,971.8982,1.0055,4,-1.0,5.4525,27.0762,971.3982,-15.6746,False
5,5,5.4525,27.0762,971.3982,1.0055,0,0.0,5.4347,27.0594,971.3982,-15.6532,False
5,6,5.4347,27.0594,971.3982,1.0055,0,0.0,5.4239,27.0983,971.3982,-15.7615,False
5,7,5.4239,27.0983,971.3982,1.0055,3,-0.5,5.2991,27.1091,971.1482,-17.1094,False
5,8,5.2991,27.1091,971.1482,1.0055,4,-1.0,5.1038,27.0445,970.6482,-19.162,False
5,9,5.1038,27.0445,970.6482,1.0055,2,1.0,5.5975,27.086,971.1482,-14.2246,False
5,10,5.5975,27.086,971.1482,1.0055,4,-1.0,5.3512,27.0616,970.6482,-16.6883,False
5,11,5.3512,27.0616,970.6482,1.0055,2,1.0,5.8377,27.0559,971.1482,-11.8229,False
5,12,5.8377,27.0559,971.1482,1.0055,4,-1.0,5.5766,27.022,970.6482,-14.4338,False
5,13,5.5766,27.022,970.6482,1.0055,0,0.0,5.5699,27.0061,970.6482,-14.3007,False
5,14,5.5699,27.0061,970.6482,1.0055,1,0.5,5.8478,26.9959,970.8982,-11.6223,False
5,15,5.8478,26.9959,970.8982,1.0055,0,0.0,5.8226,27.0418,970.8982,-11.7744,False
5,16,5.8226,27.0418,970.8982,1.0055,4,-1.0,5.5247,27.1244,970.3982,-14.9526,False
5,17,5.5247,27.1244,970.3982,1.0055,4,-1.0,5.2528,27.1002,969.8982,-17.6717,False
5,18,5.2528,27.1002,969.8982,1.0055,2,1.0,5.7315,27.1938,970.3982,-12.8849,False
5,19,5.7315,27.1938,970.3982,1.0055,1,0.5,6.0695,27.2238,970.6482,-9.4048,False
5,20,6.0695,27.2238,970.6482,1.0055,3,-0.5,5.8526,27.1614,970.3982,-11.574,False
5,21,5.8526,27.1614,970.3982,1.0055,1,0.5,6.2424,27.2275,970.6482,-7.6755,False
5,22,6.2424,27.2275,970.6482,1.0055,1,0.5,6.7127,27.2653,970.8982,-2.973,False
5,23,6.7127,27.2653,970.8982,1.0055,4,-1.0,5.4264,27.3425,970.3982,-15.9357,False
5,24,5.4264,27.3425,970.3982,1.0055,1,0.5,5.6939,27.3233,970.6482,-13.1607,True
6,0,5.5795,23.8817,1028.6576,1.1208,2,1.0,6.1179,23.904,1029.1576,-9.0209,False
6,1,6.1179,23.904,1029.1576,1.1208,0,0.0,6.1406,23.9181,1029.1576,-8.5937,False
6,2,6.1406,23.9181,1029.1576,1.1208,0,0.0,6.1282,23.8603,1029.1576,-8.7182,False
6,3,6.1282,23.8603,1029.1576,1.1208,1,0.5,6.556,23.8292,1029.4076,-4.5401,False
6,4,6.556,23.8292,1029.4076,1.1208,4,-1.0,5.7148,23.8556,1028.9076,-13.0516,False
6,5,5.7148,23.8556,1028.9076,1.1208,3,-0.5,5.5862,23.8781,1028.6576,-14.2383,False
6,6,5.5862,23.8781,1028.6576,1.1208,3,-0.5,5.476,23.9057,1028.4076,-15.3403,False
6,7,5.476,23.9057,1028.4076,1.1208,2,1.0,5.9438,23.9046,1028.9076,-10.7618,False
6,8,5.9438,23.9046,1028.9076,1.1208,1,0.5,6.2763,23.9292,1029.1576,-7.3371,False
6,9,6.2763,23.9292,1029.1576,1.1208,4,-1.0,5.7248,23.9675,1028.6576,-12.9517,False
6,10,5.7248,23.9675,1028.6576,1.1208,0,0.0,5.7026,23.9361,1028.6576,-12.9739,False
6,11,5.7026,23.9361,1028.6576,1.1208,0,0.0,5.6758,24.0014,1028.6576,-13.2423,False
6,12,5.6758,24.0014,1028.6576,1.1208,4,-1.0,5.44,23.9894,1028.1576,-15.7995,False
6,13,5.44,23.9894,1028.1576,1.1208,3,-0.5,5.372,24.009,1027.9076,-16.3803,False
6,14,5.372,24.009,1027.9076,1.1208,3,-0.5,5.2802,24.1046,1027.6576,-17.2981,False
6,15,5.2802,24.1046,1027.6576,1.1208,4,-1.0,5.1497,24.1147,1027.1576,-18.7027,False
6,16,5.1497,24.1147,1027.1576,1.1208,3,-0.5,5.0528,24.1726,1026.9076,-19.572,False
6,17,5.0528,24.1726,1026.9076,1.1208,0,0.0,5.0686,24.2633,1026.9076,-19.3137,False
6,18,5.0686,24.2633,1026.9076,1.1208,3,-0.5,5.0126,24.3078,1026.6576,-19.9744,False
6,19,5.0126,24.3078,1026.6576,1.1208,0,0.0,5.0225,24.2861,1026.6576,-19.7751,False
6,20,5.0225,24.2861,1026.6576,1.1208,1,0.5,5.2245,24.207,1026.9076,-17.8552,False
6,21,5.2245,24.207,1026.9076,1.1208,4,-1.0,5.072,24.2647,1026.4076,-19.4803,False
6,22,5.072,24.2647,1026.4076,1.1208,0,0.0,5.0624,24.1776,1026.4076,-19.3758,False
6,23,5.0624,24.1776,1026.4076,1.1208,3,-0.5,5.0266,24.0757,1026.1576,-19.8337,False
6,24,5.0266,24.0757,1026.1576,1.1208,1,0.5,5.27,24.0395,1026.4076,-17.4003,True
7,0,4.187,22.5368,981.0404,1.2,3,-0.5,4.19,22.5754,980.7904,-28.2001,False
7,1,4.19,22.5754,980.7904,1.2,4,-1.0,4.1035,22.5044,980.2904,-29.1653,False
7,2,4.1035,22.5044,980.2904,1.2,3,-0.5,4.0907,22.4843,980.0404,-29.1928,False
7,3,4.0907,22.4843,980.0404,1.2,4,-1.0,4.0264,22.5335,979.5404,-29.9361,False
7,4,4.0264,22.5335,979.5404,1.2,2,1.0,4.2759,22.5477,980.0404,-27.441,False
7,5,4.2759,22.5477,980.0404,1.2,2,1.0,4.5522,22.5726,980.5404,-24.678,False
7,6,4.5522,22.5726,980.5404,1.2,0,0.0,4.5382,22.5243,980.5404,-24.6184,False
7,7,4.5382,22.5243,980.5404,1.2,0,0.0,4.5622,22.6151,980.5404,-24.3783,False
7,8,4.5622,22.6151,980.5404,1.2,0,0.0,4.5593,22.5851,980.5404,-24.407,False
7,9,4.5593,22.5851,980.5404,1.2,3,-0.5,4.4855,22.5605,980.2904,-25.245,False
7,10,4.4855,22.5605,980.2904,1.2,3,-0.5,4.3797,22.5342,980.0404,-26.3034,False
7,11,4.3797,22.5342,980.0404,1.2,1,0.5,4.4984,22.4673,980.2904,-25.1161,False
7,12,4.4984,22.4673,980.2904,1.2,3,-0.5,4.3985,22.4854,980.0404,-26.1147,False
7,13,4.3985,22.4854,980.0404,1.2,3,-0.5,4.3132,22.5194,979.7904,-26.9678,False
7,14,4.3132,22.5194,979.7904,1.2,4,-1.0,4.1979,22.611,979.2904,-28.2206,False
7,15,4.1979,22.611,979.2904,1.2,1,0.5,4.2953,22.6205,979.5404,-27.1469,False
7,16,4.2953,22.6205,979.5404,1.2,0,0.0,4.2931,22.6968,979.5404,-27.0685,False
7,17,4.2931,22.6968,979.5404,1.2,0,0.0,4.3206,22.6629,979.5404,-26.7941,False
7,18,4.3206,22.6629,979.5404,1.2,0,0.0,4.3183,22.7248,979.5404,-26.817,False
7,19,4.3183,22.7248,979.5404,1.2,2,1.0,4.6043,22.7006,980.0404,-24.1566,False
7,20,4.6043,22.7006,980.0404,1.2,4,-1.0,4.5588,22.7162,979.5404,-24.6121,False
7,21,4.5588,22.7162,979.5404,1.2,4,-1.0,4.4511,22.784,979.0404,-25.6888,False
7,22,4.4511,22.784,979.0404,1.2,4,-1.0,4.3367,22.7769,978.5404,-26.8333,False
7,23,4.3367,22.7769,978.5404,1.2,2,1.0,4.5917,22.7434,979.0404,-24.2828,False
7,24,4.5917,22.7434,979.0404,1.2,0,0.0,4.6129,22.8204,979.0404,-23.8708,True
8,0,4.9205,26.7157,1004.0615,1.3406,2,1.0,5.2248,26.7626,1004.5615,-17.9517,False
8,1,5.2248,26.7626,1004.5615,1.3406,3,-0.5,5.143,26.8139,1004.3115,-18.6701,False
8,2,5.143,26.8139,1004.3115,1.3406,0,0.0,5.1463,26.7858,1004.3115,-18.5369,False
8,3,5.1463,26.7858,1004.3115,1.3406,4,-1.0,5.1011,26.8602,1003.8115,-19.1888,False
8,4,5.1011,26.8602,1003.8115,1.3406,2,1.0,5.4667,26.8719,1004.3115,-15.5331,False
8,5,5.4667,26.8719,1004.3115,1.3406,1,0.5,5.6942,26.9248,1004.5615,-13.158,False
8,6,5.6942,26.9248,1004.5615,1.3406,2,1.0,6.106,26.9374,1005.0615,-9.1404,False
8,7,6.106,26.9374,1005.0615,1.3406,0,0.0,6.0969,27.0125,1005.0615,-9.0312,False
8,8,6.0969,27.0125,1005.0615,1.3406,3,-0.5,5.9362,27.0235,1004.8115,-10.7378,False
8,9,5.9362,27.0235,1004.8115,1.3406,0,0.0,5.8985,27.0227,1004.8115,-11.0146,False
8,10,5.8985,27.0227,1004.8115,1.3406,3,-0.5,5.7958,26.9466,1004.5615,-12.1421,False
8,11,5.7958,26.9466,1004.5615,1.3406,2,1.0,6.3279,26.8556,1005.0615,-6.9214,False
8,12,6.3279,26.8556,1005.0615,1.3406,0,0.0,6.3462,26.9727,1005.0615,-6.5385,False
8,13,6.3462,26.9727,1005.0615,1.3406,2,1.0,7.0951,26.991,1005.5615,3.8489,True
9,0,4.8421,21.8188,969.1335,1.4278,2,1.0,5.1411,21.8196,969.6335,-18.7892,False
9,1,5.1411,21.8196,969.6335,1.4278,4,-1.0,5.0117,21.7799,969.1335,-20.0831,False
9,2,5.0117,21.7799,969.1335,1.4278,4,-1.0,4.9108,21.7555,968.6335,-21.0921,False
9,3,4.9108,21.7555,968.6335,1.4278,4,-1.0,4.7729,21.7459,968.1335,-22.4713,False
9,4,4.7729,21.7459,968.1335,1.4278,1,0.5,4.9002,21.705,968.3835,-21.0979,False
9,5,4.9002,21.705,968.3835,1.4278,2,1.0,5.1711,21.7157,968.8835,-18.4892,False
9,6,5.1711,21.7157,968.8835,1.4278,2,1.0,5.5256,21.6846,969.3835,-14.9439,False
